DATES,CPI
31/01/1990,7.6649
28/02/1990,7.8096
31/03/1990,7.9650
30/04/1990,8.1087
31/05/1990,8.3005
30/06/1990,8.5208
31/07/1990,8.7222
31/08/1990,8.9235
30/09/1990,9.1071
31/10/1990,9.2695
30/11/1990,9.4914
31/12/1990,9.6788
31/01/1991,9.7690
28/02/1991,9.9138
31/03/1991,10.0685
30/04/1991,10.2030
31/05/1991,10.3472
30/06/1991,10.4854
31/07/1991,10.6269
31/08/1991,10.7544
30/09/1991,10.9048
31/10/1991,11.0721
30/11/1991,11.3359
31/12/1991,11.4947
31/01/1992,11.5718
29/02/1992,11.6831
31/03/1992,11.8016
30/04/1992,11.9212
31/05/1992,12.0273
30/06/1992,12.1314
31/07/1992,12.2552
31/08/1992,12.3893
30/09/1992,12.5373
31/10/1992,12.6802
30/11/1992,12.7947
31/12/1992,12.8852
31/01/1993,12.9298
28/02/1993,13.0062
31/03/1993,13.0647
30/04/1993,13.1254
31/05/1993,13.2136
30/06/1993,13.3066
31/07/1993,13.4171
31/08/1993,13.5574
30/09/1993,13.7008
31/10/1993,13.8259
30/11/1993,13.9113
31/12/1993,13.9407
31/01/1994,13.9427
28/02/1994,13.9746
31/03/1994,14.0112
30/04/1994,14.0341
31/05/1994,14.1037
30/06/1994,14.1965
31/07/1994,14.3110
31/08/1994,14.4618
30/09/1994,14.6132
31/10/1994,14.7711
30/11/1994,14.8830
31/12/1994,14.9445
31/01/1995,15.3833
28/02/1995,15.9851
31/03/1995,16.8753
30/04/1995,18.1451
31/05/1995,18.9057
30/06/1995,19.5427
31/07/1995,20.0208
31/08/1995,20.4800
30/09/1995,20.9724
31/10/1995,21.5261
30/11/1995,22.0951
31/12/1995,22.7088
31/01/1996,23.3282
29/02/1996,23.7915
31/03/1996,24.2425
30/04/1996,24.8392
31/05/1996,25.3120
30/06/1996,25.7859
31/07/1996,26.2624
31/08/1996,26.7823
30/09/1996,27.2847
31/10/1996,27.7647
30/11/1996,28.2003
31/12/1996,28.9580
31/01/1997,29.4359
28/02/1997,29.8391
31/03/1997,30.1499
30/04/1997,30.4035
31/05/1997,30.7422
30/06/1997,31.1001
31/07/1997,31.5053
31/08/1997,31.9666
30/09/1997,32.4171
31/10/1997,32.8022
30/11/1997,33.1383
31/12/1997,33.4277
31/01/1998,33.8573
28/02/1998,34.3603
31/03/1998,34.7436
30/04/1998,35.0464
31/05/1998,35.4307
30/06/1998,35.9516
31/07/1998,36.4526
31/08/1998,36.9605
30/09/1998,37.5704
31/10/1998,38.1984
30/11/1998,38.7918
31/12/1998,39.5574
31/01/1999,40.2314
28/02/1999,40.6982
31/03/1999,41.1032
30/04/1999,41.5111
31/05/1999,41.9114
30/06/1999,42.2937
31/07/1999,42.7460
31/08/1999,43.1013
30/09/1999,43.4799
31/10/1999,43.8004
30/11/1999,44.0705
31/12/1999,44.3509
31/01/2000,44.6525
29/02/2000,44.9975
31/03/2000,45.3004
30/04/2000,45.6153
31/05/2000,45.9635
30/06/2000,46.3370
31/07/2000,46.6886
31/08/2000,47.0133
30/09/2000,47.2822
31/10/2000,47.6137
30/11/2000,47.8707
31/12/2000,48.2761
31/01/2001,48.2909
28/02/2001,48.2342
31/03/2001,48.5980
30/04/2001,48.8989
31/05/2001,49.2144
30/06/2001,49.4244
31/07/2001,49.4559
31/08/2001,49.7777
30/09/2001,50.1459
31/10/2001,50.3524
30/11/2001,50.3605
31/12/2001,50.3589
31/01/2002,50.6360
28/02/2002,50.5959
31/03/2002,50.8955
30/04/2002,51.2217
31/05/2002,51.5552
30/06/2002,51.9047
31/07/2002,52.1954
31/08/2002,52.3930
30/09/2002,52.5958
31/10/2002,52.7927
30/11/2002,53.0073
31/12/2002,53.1962
31/01/2003,53.2717
28/02/2003,53.4212
31/03/2003,53.7774
30/04/2003,53.9188
31/05/2003,54.0167
30/06/2003,54.1680
31/07/2003,54.3585
31/08/2003,54.5068
30/09/2003,54.7002
31/10/2003,54.8535
30/11/2003,55.0804
31/12/2003,55.2657
31/01/2004,55.5219
29/02/2004,55.8563
31/03/2004,56.0443
30/04/2004,56.1902
31/05/2004,56.3731
30/06/2004,56.5857
31/07/2004,56.8047
31/08/2004,57.1372
30/09/2004,57.4531
31/10/2004,57.7996
30/11/2004,58.0499
31/12/2004,58.0994
31/01/2005,58.0419
28/02/2005,58.2321
31/03/2005,58.4853
30/04/2005,58.7794
31/05/2005,59.0060
30/06/2005,59.0811
31/07/2005,59.3489
31/08/2005,59.3988
30/09/2005,59.4661
31/10/2005,59.5532
30/11/2005,59.7312
31/12/2005,60.0011
31/01/2006,60.3193
28/02/2006,60.4046
31/03/2006,60.4696
30/04/2006,60.6608
31/05/2006,60.7986
30/06/2006,60.9880
31/07/2006,61.1697
31/08/2006,61.4618
30/09/2006,61.9042
31/10/2006,62.1165
30/11/2006,62.1777
31/12/2006,62.4192
31/01/2007,62.7035
28/02/2007,62.8657
31/03/2007,63.0010
30/04/2007,63.0804
31/05/2007,63.2147
30/06/2007,63.4270
31/07/2007,63.7048
31/08/2007,63.9470
30/09/2007,64.2705
31/10/2007,64.4557
30/11/2007,64.6289
31/12/2007,64.7590
31/01/2008,65.0106
29/02/2008,65.1811
31/03/2008,65.6558
30/04/2008,65.9357
31/05/2008,66.3539
30/06/2008,66.7678
31/07/2008,67.1359
31/08/2008,67.5241
30/09/2008,67.8155
31/10/2008,68.2097
30/11/2008,68.6722
31/12/2008,68.9881
31/01/2009,69.0767
28/02/2009,69.1839
31/03/2009,69.5891
30/04/2009,69.9947
31/05/2009,70.3353
30/06/2009,70.6018
31/07/2009,70.7818
31/08/2009,70.9697
30/09/2009,71.1735
31/10/2009,71.3007
30/11/2009,71.3272
31/12/2009,71.4541
31/01/2010,72.1498
28/02/2010,72.4958
31/03/2010,73.0148
30/04/2010,72.9711
31/05/2010,73.0923
30/06/2010,73.2104
31/07/2010,73.3521
31/08/2010,73.5914
30/09/2010,73.8405
31/10/2010,74.1938
30/11/2010,74.4135
31/12/2010,74.6044
31/01/2011,74.8674
28/02/2011,75.0542
31/03/2011,75.2023
30/04/2011,75.4263
31/05/2011,75.4701
30/06/2011,75.6075
31/07/2011,75.9610
31/08/2011,76.1174
30/09/2011,76.1838
31/10/2011,76.5692
30/11/2011,76.9962
31/12/2011,77.4636
31/01/2012,77.8930
29/02/2012,77.9439
31/03/2012,77.9833
30/04/2012,78.0123
31/05/2012,78.3761
30/06/2012,78.8793
31/07/2012,79.3269
31/08/2012,79.5968
30/09/2012,79.8310
31/10/2012,80.0852
30/11/2012,80.2080
31/12/2012,80.2364
31/01/2013,80.4249
28/02/2013,80.7032
31/03/2013,81.2821
30/04/2013,81.6716
31/05/2013,82.0102
30/06/2013,82.0904
31/07/2013,82.0859
31/08/2013,82.3447
30/09/2013,82.5401
31/10/2013,82.7574
30/11/2013,83.1060
31/12/2013,83.4354
31/01/2014,84.0407
28/02/2014,84.1226
31/03/2014,84.3322
30/04/2014,84.5506
31/05/2014,84.8779
30/06/2014,85.1541
31/07/2014,85.4366
31/08/2014,85.7536
30/09/2014,86.0224
31/10/2014,86.3064
30/11/2014,86.5796
31/12/2014,86.8441
31/01/2015,86.6117
28/02/2015,86.6363
31/03/2015,86.9791
30/04/2015,87.1740
31/05/2015,87.3203
30/06/2015,87.5920
31/07/2015,87.7767
31/08/2015,87.9542
30/09/2015,88.1863
31/10/2015,88.4378
30/11/2015,88.5003
31/12/2015,88.6928
31/01/2016,88.8672
29/02/2016,89.1174
31/03/2016,89.2627
30/04/2016,89.4184
31/05/2016,89.5953
30/06/2016,89.8198
31/07/2016,90.0851
31/08/2016,90.3279
30/09/2016,90.8031
31/10/2016,91.1477
30/11/2016,91.4232
31/12/2016,91.6554
31/01/2017,93.0439
28/02/2017,93.4419
31/03/2017,94.0802
30/04/2017,94.6784
31/05/2017,95.1567
30/06/2017,95.4980
31/07/2017,95.8343
31/08/2017,96.3017
30/09/2017,96.5436
31/10/2017,96.9425
30/11/2017,97.4891
31/12/2017,97.8600
31/01/2018,98.1923
28/02/2018,98.4399
31/03/2018,98.8684
30/04/2018,99.0537
31/05/2018,99.4759
30/06/2018,99.9368
31/07/2018,100.3865
31/08/2018,100.9686
30/09/2018,101.3651
31/10/2018,101.6790
30/11/2018,102.0886
31/12/2018,102.5892
31/01/2019,102.4637
28/02/2019,102.3305
31/03/2019,102.8737
30/04/2019,103.5066
31/05/2019,103.7750
30/06/2019,103.8782
31/07/2019,104.1251
31/08/2019,104.1033
30/09/2019,104.3679
31/10/2019,104.7235
30/11/2019,105.1301
31/12/2019,105.5053
31/01/2020,105.7749
29/02/2020,106.1317
31/03/2020,106.2568
30/04/2020,105.7891
31/05/2020,106.7425
30/06/2020,107.3337
31/07/2020,107.8498
31/08/2020,108.2823
30/09/2020,108.5342
31/10/2020,108.9758
30/11/2020,108.6425
31/12/2020,108.8416
31/01/2021,109.5144
28/02/2021,110.1295
31/03/2021,111.2429
30/04/2021,112.2557
31/05/2021,113.0495
30/06/2021,113.6386
31/07/2021,114.0811
31/08/2021,114.3244
30/09/2021,115.0280
31/10/2021,115.7580
30/11/2021,116.6721
31/12/2021,116.8611
